facility_class,building_type,design_level,demand_type,height_in,modal_height_in,drift_slight,drift_moderate,drift_extensive,drift_complete,median_slight,beta_slight,median_moderate,beta_moderate,median_extensive,beta_extensive,median_complete,beta_complete
Essential Facility (Special Building),C2H,Low-Code,PGA_g,,,,,,,0.14,0.64,0.25,0.64,0.56,0.64,0.96,0.64
Essential Facility (Special Building),C3L,Low-Code,PGA_g,,,,,,,0.17,0.64,0.25,0.64,0.39,0.64,0.65,0.64
Essential Facility (Special Building),C3M,Low-Code,PGA_g,,,,,,,0.14,0.64,0.23,0.64,0.46,0.64,0.75,0.64
Essential Facility (Special Building),C3H,Low-Code,PGA_g,,,,,,,0.12,0.64,0.22,0.64,0.48,0.64,0.79,0.64
Essential Facility (Special Building),PC1,Low-Code,PGA_g,,,,,,,0.18,0.64,0.24,0.64,0.38,0.64,0.65,0.64
Essential Facility (Special Building),PC2L,Low-Code,PGA_g,,,,,,,0.18,0.64,0.23,0.64,0.36,0.64,0.66,0.64
Essential Facility (Special Building),PC2M,Low-Code,PGA_g,,,,,,,0.16,0.64,0.22,0.64,0.45,0.64,0.79,0.64
Essential Facility (Special Building),PC2H,Low-Code,PGA_g,,,,,,,0.14,0.64,0.21,0.64,0.45,0.64,0.81,0.64
Essential Facility (Special Building),RM1L,Low-Code,PGA_g,,,,,,,0.22,0.64,0.29,0.64,0.44,0.64,0.80,0.64
Essential Facility (Special Building),RM1M,Low-Code,PGA_g,,,,,,,0.19,0.64,0.26,0.64,0.50,0.64,0.92,0.64
Essential Facility (Special Building),RM2L,Low-Code,PGA_g,,,,,,,0.20,0.64,0.27,0.64,0.41,0.64,0.77,0.64
Essential Facility (Special Building),RM2M,Low-Code,PGA_g,,,,,,,0.17,0.64,0.24,0.64,0.47,0.64,0.88,0.64
Essential Facility (Special Building),RM2H,Low-Code,PGA_g,,,,,,,0.14,0.64,0.22,0.64,0.49,0.64,0.92,0.64
Essential Facility (Special Building),URML,Low-Code,PGA_g,,,,,,,0.19,0.64,0.28,0.64,0.47,0.64,0.68,0.64
Essential Facility (Special Building),URMM,Low-Code,PGA_g,,,,,,,0.14,0.64,0.22,0.64,0.38,0.64,0.70,0.64
Essential Facility (Special Building),MH,Low-Code,PGA_g,,,,,,,0.16,0.64,0.26,0.64,0.45,0.64,0.88,0.64
